iter	Passed	Remaining
0	1	167
1	3	156
2	4	145
3	5	136
4	6	132
5	8	126
6	9	120
7	10	116
8	11	112
9	12	108
10	12	105
11	14	105
12	15	104
13	16	103
14	18	103
15	19	100
16	20	98
17	20	94
18	21	92
19	22	90
20	23	89
21	24	87
22	25	84
23	26	82
24	26	80
25	27	77
26	27	75
27	28	73
28	29	71
29	29	69
30	30	67
31	31	66
32	31	64
33	32	63
34	33	61
35	34	60
36	34	58
37	35	57
38	36	56
39	36	55
40	37	53
41	38	52
42	38	51
43	39	50
44	40	49
45	40	48
46	41	46
47	42	46
48	43	45
49	44	44
50	45	43
51	46	42
52	47	41
53	47	40
54	48	39
55	49	38
56	49	37
57	50	36
58	51	35
59	52	34
60	52	33
61	53	32
62	54	31
63	55	30
64	55	30
65	56	29
66	57	28
67	57	27
68	58	26
69	59	25
70	59	24
71	60	23
72	61	22
73	61	21
74	62	20
75	63	20
76	64	19
77	64	18
78	65	17
79	66	16
80	66	15
81	67	14
82	68	13
83	68	13
84	69	12
85	70	11
86	70	10
87	71	9
88	72	8
89	73	8
90	73	7
91	74	6
92	75	5
93	75	4
94	76	4
95	76	3
96	77	2
97	78	1
98	79	0
99	79	0
